SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2
6100,LEEDS MIDDLE SCHOOL,"LEEDS, MORRIS E. MIDDLE SCHOOL"
6110,ROOSEVELT MIDDLE SCHOOL,"ROOSEVELT, THEODORE MIDDLE SCH"
6200,ANNA B. DAY SCHOOL,"DAY, ANNA B. SCHOOL"
6210,FRANKLIN S. EDMONDS SCHOOL,"EDMONDS, FRANKLIN S. SCHOOL"
6220,ELEANOR C. EMLEN SCHOOL,"EMLEN, ELEANOR C. SCHOOL"
6230,FITLER ACADEMICS PLUS,FITLER ACADEMICS PLUS
6240,ROBERT FULTON SCHOOL,"FULTON, ROBERT SCHOOL"
6250,CHARLES W HENRY SCHOOL,"HENRY, CHARLES W. SCHOOL"
6260,HENRY H. HOUSTON SCHOOL,"HOUSTON, HENRY H. SCHOOL"
6340,JOSEPH PENNELL ELEMENTARY,"PENNELL, JOSEPH ELEMENTARY"
6400,WIDENER MEMORIAL SCHOOL,WIDENER MEMORIAL SCHOOL
6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL
6430,JOHN WISTER SCHOOL,"WISTER, JOHN SCHOOL"
6440,ANNA L. LINGELBACH SCHOOL,"LINGELBACH, ANNA L. SCHOOL"
6450,JAMES DOBSON SCHOOL,"DOBSON, JAMES SCHOOL"
6460,HILL-FREEDMAN MIDDLE SCHOOL,HILL-FREEDMAN MIDDLE SCHOOL
6270,JOHN STORY JENKS SCHOOL,"JENKS, JOHN S. SCHOOL"
6280,JOHN L. KINSEY SCHOOL,"KINSEY, JOHN L. SCHOOL"
6300,LOGAN SCHOOL,"LOGAN, JAMES SCHOOL"
6310,MCCLOSKEY SCHOOL,"MCCLOSKEY, JOHN F. SCHOOL"
6320,MIFFLIN SCHOOL,"MIFFLIN, THOMAS SCHOOL"
4320,ROBERT E LAMBERTON ELEMENTARY,"LAMBERTON,ROBERT E ELEMENTARY"
6010,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL
6020,GERMANTOWN HIGH SCHOOL,GERMANTOWN HIGH SCHOOL
6030,ROXBOROUGH HIGH SCHOOL,ROXBOROUGH HIGH SCHOOL
6040,W. B. SAUL HIGH SCHOOL,"SAUL, WALTER B. HIGH SCHOOL"
6480,AMY NORTHWEST,AMY NORTHWEST
6540,LANKENAU HIGH SCHOOL,LANKENAU HIGH SCHOOL
7100,COOKE ELEMENTARY SCHOOL,"COOKE, JAY ELEMENTARY SCHOOL"
7110,HARDING MIDDLE SCHOOL,"HARDING, WARREN G. MIDDLE SCH"
7120,SAMUEL S. FELS HIGH SCHOOL,"FELS, SAMUEL HIGH SCHOOL"
7200,BARTON SCHOOL,BARTON SCHOOL
7220,CARNELL SCHOOL,"CARNELL, LAURA H. SCHOOL"
6470,JOHN B. KELLY SCHOOL,"KELLY, JOHN B. SCHOOL"
7260,ELLWOOD SCHOOL,ELLWOOD SCHOOL
7270,FINLETTER ACADEMICS PLUS SCH,"FINLETTER, THOMAS K. SCHOOL"
7280,FRANKLIN ACADEMICS PLUS SCHOOL,"FRANKLIN, BENJAMIN SCHOOL"
7290,ALLEN M. STEARNE SCHOOL,"STEARNE, ALLEN M. SCHOOL"
7010,FRANKFORD HIGH SCHOOL,FRANKFORD HIGH SCHOOL
1290,ANDREW HAMILTON SCHOOL,"HAMILTON, ANDREW SCHOOL"
7300,FRANCIS HOPKINSON SCHOOL,"HOPKINSON, FRANCIS SCHOOL"
7310,FELTONVILLE INTERMEDIATE,FELTONVILLE INTERMEDIATE
